,description,edam_topics,help,id,inputs,name,outputs
0,,,Given a FASTA contig file or a genbank file  ABRicate will perform a mass screening of contigs and identify the presence of antibiotic resistance genes  The user can choose which database to search from a list of available AMR databases ,abricate,"fasta,genbank,embl",ABRicate,tabular
1,,,ABRicate List will list all the antibiotic databases used by ABRicate  The database of these genes is built from ResFinder      ,abricate_list,,ABRicate List,txt
2,de novo sequence assembler,, ABySS   is a de novo sequence assembler intended for short paired end reads and large genomes ,abyss-pe,"fasta,fastq,fastqsanger,fastqillumina",ABySS,"fasta,tabular"
3,Linkage and Haplotype analysis,, Allegro is a computer program for multipoint genetic linkage analysis and related calculations  Allegro can do both classical parametric linkage analysis and analysis based on allele sharing models  In addition  Allegro estimates total number of recombinations between markers  computes posterior IBD sharing probabilities  re constructs haplotypes and does two types of simulation  Thus Allegro includes the basic functionality of the well known Genehunter program  Kruglyak et al,allegro,"linkage_pedin,linkage_recomb,linkage_map,txt",Allegro,"allegro_haplo,allegro_linkage,allegro_descent,txt"
4,annotate a generic set of identifiers,,This tool can get annotation for a generic set of IDs  using the Bioconductor  annotation data packages  Supported organisms are human  mouse  fruit fly and zebrafish  The org db packages that are used here are primarily based on mapping using Entrez Gene identifiers,annotatemyids,tabular,annotateMyIDs,"tabular,txt"
5,simulates pyrosequencing data,, Art 454 Pyrosequencing Simulator                                   ART 454 is a simulation program to generate sequence read data of Roche 454 Pyrosequencing sequencers  ART generates reads according to the empirical read quality profile and the calibrated error profile of uncall overcall homopolymers from real 454 read data  ART has been using for testing or benchmarking a variety of method or tools for next generation sequencing data analysis  including read alignment  de novo assembly  detection of SNP  CNV  or other structure variation   art 454 can generate both single end and paired end of 454 sequencing platform,art_454,fasta,ART 454,"fastq,sam,aln"
6,simulates sequencing data,, Art Illumina Simulator                         ART  art Illumina Q version  is a simulation program to generate sequence read data of Illumina sequencers  ART generates reads according to the empirical read quality profile summarized from large real read data  ART has been using for testing or benchmarking a variety of methods or tools for next generation sequencing data analysis  including read alignment  de novo assembly  detection of SNP  CNV  or other structure variation   art Illumina can generate single end  paired end   mate pair reads  and amplicon sequencing simulation of Illumina sequencing platform,art_illumina,fasta,ART Illumina,"fastq,sam,aln"
7,simulates SOLiD data,, Art SOLiD Simulator                      ART SOLiD  is a simulation program to generate sequence read data of SOLiD sequencing reads  ART generates reads according to a SOLiD read error profile  The built in error profile is an empiricial error profile summarized from large SOLiD sequencing data  ART has been using for testing or benchmarking a variety of method or tools for next generation sequencing data analysis  including read alignment  de novo assembly  detection of SNP  CNV  or other structure variation,art_solid,fasta,ART SOLiD,"fastq,sam"
8,gene prediction for prokaryotic and eukaryotic genomes,,AUGUSTUS is a gene prediction program for prokaryotes and eukaryotes written by Mario Stanke and Oliver Keller  It can be used as an ab initio program  which means it bases its prediction purely on the sequence  AUGUSTUS may also incorporate hints on the gene structure coming from extrinsic sources such as EST  MS MS  protein alignments and synthenic genomic alignments ,augustus,"fasta,augustus",Augustus,"gtf,fasta"
9,ab-initio gene predictor,,         This tool allows to train Augustus  the ab initio gene predictor  based on a previous prediction  e g  made with Maker       ,augustus_training,"fasta,gff",Train Augustus,augustus
10,,,Converts BAM data to ScIdx  the Strand specific coordinate count format  which is used by tools within the Chip exo Galaxy flavor   ScIdx files are 1 based   The format consists of 5 columns  the chromosome  the position of the genomic coordinate  the number of tags on the forward strand  the number of tags on the reverse strand and the number of total tags on the position   With pair end reads  only the 5  end of READ1 will be used to create the ScIdx data file,bam_to_scidx,bam,Convert BAM to ScIdx,scidx
11,Locate ribosomal RNA's in a fasta file. (GFF output),,    barrnap    barrnap  predicts the location of 5S  16S and 23S ribosomal RNA genes in Bacterial genome sequences  Barrnap now supports Archaea  Eukaryota and Mitochondria  It takes FASTA DNA sequence as input  and write GFF3 as output  It uses the new NHMMER tool that comes with HMMER 3,barrnap,fasta,barrnap,gff3
12,Detecting natural selection from population-based genetic data,,This program  BayeScan aims at identifying candidate loci under natural selection from genetic data  using differences in allele frequencies between populations ,BayeScan,"tabular,txt",BayeScan,txt
13,Annotate and edit VCF/BCF files,,                                     bcftools  EXECUTABLE                                      Annotate and edit VCF BCF files   Examples         Remove three fields     bcftools annotate  x ID INFO DP FORMAT DP file vcf gz        Remove all INFO fields and all FORMAT fields except for GT and PL     bcftools annotate  x INFO  FORMAT GT FORMAT PL file,bcftools_@EXECUTABLE@,"vcf,tabular,bed,txt,tabular",bcftools @EXECUTABLE@,
14,SNP/indel variant calling from VCF/BCF,,                                     bcftools  EXECUTABLE                                      SNP indel variant calling from VCF BCF  To be used in conjunction with samtools mpileup        This command replaces the former  bcftools view  caller       Some of the original functionality has been temporarily lost in the process of transition to htslib  but will be added back on popular demand,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,
15,"Copy number variation caller, requires Illumina's B-allele frequency (BAF) and Log R Ratio intensity (LRR)",,                                        bcftools  EXECUTABLE                                         Copy number variation caller  requires Illumina s B allele frequency  BAF  and Log R Ratio intensity  LRR    The HMM considers the following copy number states  CN 2  normal   1  single copy loss   0  complete loss   3  single copy gain    REGIONS HELP   TARGETS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,fasta,bcftools @EXECUTABLE@,tabular
16,Concatenate or combine VCF/BCF files,,                                        bcftools  EXECUTABLE  plugin                                        Concatenate or combine VCF BCF files  All source files must have the same sample columns appearing in the same order  The program can be used  for example  to concatenate chromosome VCFs into one VCF  or combine a SNP VCF and an indel VCF into one  The input files must be sorted by chr and position,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
17,Create consensus sequence by applying VCF variants to a reference fasta file,,                                        bcftools  EXECUTABLE  plugin                                         Create consensus sequence by applying VCF variants to a reference fasta file    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,"fasta,txt"
18,Converts VCF/BCF to IMPUTE2/SHAPEIT formats,,                                        bcftools  EXECUTABLE  from vcf                                        Converts VCF BCF to other formats  See man page for file formats details     REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@_from_vcf,,bcftools @EXECUTABLE@ from vcf,tabular
19,Converts other formats to VCF/BCFk,,                                        bcftools  EXECUTABLE  plugin                                        Converts other variant formats to vcf   See man page for file formats details    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@_to_vcf,"tabular,gvcf",bcftools @EXECUTABLE@ to vcf,
20,Haplotype aware consequence predictor,,                                        bcftools  EXECUTABLE                                         Haplotype aware consequence predictor which correctly handles combined variants such as MNPs split over multiple VCF records  SNPs separated by an intron  but adjacent in the spliced transcript  or nearby frame shifting indels which in combination in fact are not frame shifting   The output VCF is annotated with INFO BCSQ and FORMAT BCSQ tag  configurable with the  c option   The latter is a bitmask of indexes to INFO BCSQ  with interleaved haplotypes  See the usage examples below for using the  TBCSQ converter in query for extracting a more human readable form from this bitmask,bcftools_@EXECUTABLE@,gff3,bcftools @EXECUTABLE@,
21,Apply fixed-threshold filters,,                                        bcftools  EXECUTABLE                                         Apply fixed threshold filters    REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP     BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
