,description,help,id,inputs,name,outputs
0, and append it to tabular data.,Computes the false discovery rate  FDR  for database hits based on either a decoy prefix  e g  entires starting with   REV    or   DECOY     or a column specifing whether the corresponding hit is a decoy or not    0   for target and   1   for decoy  ,append_fdr,tabular,Compute False Discovery Rate (FDR),
1,genomic location of proteins for MVP, Convert a BED format file of the proteins from a proteomics search database into a tabular format for the Multiomics Visualization Platform  MVP    Example input BED dataset     X 276352 291629 ENST00000430923 20   284187 291629 80 80 80 5 42 148 137 129 131 0 7814 12380 14295 15146  X 304749 318819 ENST00000326153 20   305073 318787 80 80 80 10 448 153 149 209 159 68 131 71 138 381 0 2610 2982 6669 8016 9400 10140 10479 12164 13689   Output        name               chrom   start     end       strand  cds start  cds end     ENST00000430923    X       284187    284314               0        127     ENST00000430923    X       288732    288869             127        264     ENST00000430923    X       290647    290776             264        393     ENST00000430923    X       291498    291629             393        524     ENST00000326153    X       318438    318787               0        349     ENST00000326153    X       316913    317051             349        487     ENST00000326153    X       315228    315299             487        558     ENST00000326153    X       314889    315020             558        689     ENST00000326153    X       314149    314217             689        757     ENST00000326153    X       312765    312924             757        916     ENST00000326153    X       311418    311627             916       1125     ENST00000326153    X       307731    307880            1125       1274     ENST00000326153    X       307359    307512            1274       1427     ENST00000326153    X       305073    305197            1427       1551   The tabular output can be converted to a sqlite database using the Query Tabular  tool   The sqlite table should be named   feature cds map The names for the columns should be  name chrom start end strand cds start cds end  This SQL query will return the genomic location for a peptide sequence in a protein  multiply the animo acid position by 3 for the cds location         SELECT distinct chrom  CASE WHEN strand       THEN start   cds offset   cds start ELSE end   cds offset   cds start END as  pos      FROM feature cds map     WHERE name   acc name AND cds offset    cds start AND cds offset   cds end    ,bed_to_protein_map,bed,bed to protein map,tabular
2,Search protein database with protein query sequence(s) with remote option,Search a  protein database  using a  protein query   using the NCBI BLAST  blastp command line tool ,blast_plus_remote_blastp,"fasta,blastdbp",NCBI BLAST+ blastp,"tabular,blastxml,txt,html"
3,Embed human/mouse gene metadata into IDPicker files,Embeds optional data and metadata into the IDPicker 3 idpDB files  This should be run after all idpDB files have been merged together  e g  after idpAssemble ,idpqonvertEmbedder,"idpdb,mzml,mzxml,mgf,ms2,mz5",idpEmbedder,idpdb
4,"Merge IDPicker databases from single files into a merged database, and filters the result at PSM/spectrum/peptide/protein/gene levels.",Merges and filters one or more IDPicker 3 idpDB files into a combined idpDB file  Protein assembly  e g  parsimony  is conducted on the combined set of proteins,idpassemble,"idpdb,tabular",idpAssemble,idpdb
5,Prepare identification results for IDPicker,Creates IDPicker 3 idpDB files from pepXML and mzIdentML files   The input files should be unfiltered and must come from a target decoy database search ,idpqonvert,"mzid,raw_pepxml,fasta",idpQonvert,idpdb
6,Creates text reports from idpDB files.,Creates user configurable text reports from IDPicker 3 idpDB files  ,idpquery,idpdb,idpQuery,tabular
7,Identify peptides in tandem mass spectra.,Performs protein identification via database search using MyriMatch ,myrimatch,"mzml,mzxml,mgf,ms2,mz5,fasta",MyriMatch,raw_pepxml
8,,    Output    Creates a FASTA file of specified protein sequences for comparison with experimental MS MS data in search algorithm      External Links        Galaxy P 101  shows usage Protein Database Downloader tool in the creation of a workflow     UniProtKB  provides additional information about the UniProt Knowledgebase       Galaxy P 101  ,dbbuilder,,Protein Database Downloader,fasta
9,DIA quantitation and targeted re-extraction,                                                                  DIA Umpire quantitation and targeted re extraction module                                                                  DIA Umpire Quant jar provides quantitation and targeted re extraction analysis by taking results from Step A signal extraction and Step B untargeted MS MS database search   Manual    net projects diaumpire files Manual DIA Umpire Manual v1,dia_umpire_quant,"mzxml,pepxml,protxml,fasta,dia_umpire.ser,xml",DIA_Umpire_Quant,"txt,dia_umpire.quant,tabular"
10,DIA signal extraction,                                     DIA Umpire signal extraction                                     DIA Umpire SE jar provides the signal extraction module for DIA data  regular SWATH with fixed isolation window size  variable window SWATH  MSX  which generates pseudo MS MS spectra to be searched against a protein database using conventional proteomics search engines such as X Tandem  SEQUEST  MSGF   OMSSA  etc   Manual    net projects diaumpire files Manual DIA Umpire Manual v1,dia_umpire_se,mzxml,DIA_Umpire_SE,"txt,dia_umpire.ser,csv"
11,Perform a theoretical digest of a protein database,Produces a tabular description of peptides resulting from theoretical digest of a given protein database by the selected enzyme agent using the digestdb program distributed with the Transproteomic Pipeline ,digestdb,fasta,Digest Database,tabular
12,functional sequence annotation by orthology,  eggnog mapper               Overview             eggnog mapper   is a tool for fast functional annotation of novel sequences  genes or proteins  using precomputed eggNOG based orthology assignments   Obvious examples include the annotation of novel genomes  transcriptomes or even metagenomic gene catalogs   The use of orthology predictions for functional annotation is considered more precise than traditional homology searches   as it avoids transferring annotations from paralogs  duplicate genes with a higher chance of being involved in functional divergence    EggNOG mapper is also available as a public online resource     ,eggnog_mapper,fasta,eggNOG Mapper,tabular
13,Concatenate FASTA database files together,Concatenate FASTA database files together ,fasta_merge_files_and_filter_unique_sequences,fasta,FASTA Merge Files and Filter Unique Sequences,fasta
14,Extract sequences from a FASTA file based on a list of IDs,Extract sequences from a FASTA file based on a list of IDs ,filter_by_fasta_ids,"fasta,txt",Filter by FASTA IDs,fasta
15,ultrafast label-free quantification for mass-spectrometry proteomics,    FlashLFQ   is an ultrafast label free quantification for mass spectrometry proteomics     Accepted command line arguments               idt  string   identification file path  TSV format         raw  string   MS data file   raw or  mzML         rep  string   repository containing MS data files        ppm  double   monoisotopic ppm tolerance   default   10        iso  double   isotopic distribution tolerance in ppm   default   5        sil  boolean   silent mode  no console output   default   false        pau  boolean   pause at end of run   default   true        int  boolean   integrate chromatographic peak intensity instead of using            the apex intensity   default   false        chg  boolean   use only precursor charge state  when set to false  FlashLFQ looks            for all charge states detected in the MS MS identification file for each peptide   default   false        mbr  bool match between runs        rmm  bool require observed monoisotopic mass peak        nis  int number of isotopes required to be observed      Tab Delimited Identification Text File    The first line of the text file should contain column headers identifying what each column is,flashlfq,"tabular,mzml",FlashLFQ,"txt,tabular"
16,for StringTie results, Convert a GFFCompare annotated GTF file to BED format   usage  gffcompare to bed py   h    C CLASS CODE    v    d  input output  positional arguments    input                 GFFCompare annotated GTF file      for stdin   output                BED file      for stdout  optional arguments     h    help            show this help message and exit    C CLASS CODE    class code CLASS CODE                         Restrict output to gffcompare class codes    d    debug           Debug      ,gffcompare_to_bed,gtf,Convert gffCompare annotated GTF to BED,bed
17,identification of features from mass spectra,         Hardkl r identifies peptide or protein like features in mass spectra  It deconvolves overlapping ion signals and can be used on a variety of input formats  The output of Hardkl r can be used by the Kr nik tool which summarizes the peptide features over time in an LC MS experiment      ,hardklor,mzml,Hardklor,hardklor
18,processes Hardklor features to find peptides by chromatographic profiling, Kr nik filters  validates  and summarizes peptide features identified with Hardkl r from data obtained during liquid chromatography mass spectrometry  LC MS   Hardkl r and Kr nik were designed to rapidly identify peptide and protein features in high resolution spectra of complex mixtures  These algorithms were developed to meet the demands of modern mass spectrometers that are capable of generating large amounts of robust mass spectrometry data  Spectra containing tens to hundreds of overlapping ion signals are reduced to a relevant list of observed monoisotopic mass values  charge states  and signal intensity values when using Hardkl r,kronik,hardklor,Kronik,kronik
19,for viewing in a genome browser,   Map peptides to a bed file    This tool is intended to map peptides identified by Mass Spectrometry relative to the protein sequence in the Proteomics Search database   It generates a BED file that maps the location of peptides within proteins mapped to a reference genome so that they can be displayed in a genome browser      The input is a tabular file that has columns containing  peptide   protein ID  and optionally the offset of the peptide from the start of the protein sequence    The other input is a BED file decribing the location of protein sequences relative to a reference genome,map_peptides_to_bed,"bed,tabular",Map peptides to a bed file,bed
20,,   ,maxquant,"tabular,fasta",MaxQuant,tabular
21,"
        functional and taxonomic characterization of proteins
    ",       ,meta_proteome_analyzer,"fasta,mgf",MetaProteomeAnalyzer,tabular
22,convert peak lists into MGF files formatted for particular downstream applications,  MGF Formatter convert peak lists into MGF files formatted for particular downstream applications       ,mgf_formatter,"mzml,mzxml,mgf",MGF Formatter,mgf
23,extracts MS1 intensities from spectrum files,        Description    moFF  a Modest Feature Finder  is an OS independent tool designed to extract apex MS1 intensity using a set of identified MS2 peptides  It currently uses a Go library to directly extract data from Thermo Raw spectrum files  eliminating the need for conversions from other formats  Moreover  moFF also allows one to work directly with mzML files     Usage     Modules    1,proteomics_moff,,moFF,"tabular,txt"
24,database search algorithm for high-resolution tandem mass spectra, Morpheus  is a database search algorithm for high resolution tandem mass spectra    When a Uniprot Proteome XML file is used for the search database  Morpheus will include all known modifications from the proteome in searching for peptide spectral matches   To fetch Uniprot Proteome XML files see    uniprot,morpheus,"mzml,fasta,uniprotxml",Morpheus,"txt,tabular,mzid"
25,for WIFF format using AB SCIEX MS Data Converter,AB SCIEX MS Data Converter to convert mass spectral data from any AB SCIEX instrument into open data formats  Data can be converted into two different formats   mzML or mgf  You can also control what kind of information is written  You can choose to get an exact translation of what the instrument recorded or choose to convert to a processed version  reducing the data down to peak lists,ms_data_converter,wiff,MS Data Converter,mzml
26,into a Galaxy dataset,         Loads AB SCIEX wiff files into a Galaxy Composite dataset      ,ms_wiff_upload,,MS Wiff Upload,wiff
27,"
        Identifies peptides in tandem mass spectra using the MS-GF+ search engine.
    ",Performs protein identification via database search using MS GF  ,msgfplus,"mzml,fasta",MS-GF+,"mzid,tabular"
28,"
        mass spectrometry imaging heatmaps
    ",  Heatmaps for different ion masses in mass spectrometry imaging data    Input data  3 types of input data can be used     imzml file  upload imzml and ibd file via the  composite  function   Introduction to the imzml format   org wp introduction       Analyze7 5  upload hdr  img and t2m file via the  composite  function    Cardinal  MSImageSet  data  with variable name  msidata   saved as ,mass_spectrometry_imaging_ion_images,"imzml,rdata,analyze75,tabular",MSI ion images,pdf
