,description,edam_topics,help,id,inputs,name,outputs
0,,,Given a FASTA contig file or a genbank file  ABRicate will perform a mass screening of contigs and identify the presence of antibiotic resistance genes  The user can choose which database to search from a list of available AMR databases ,abricate,"fasta,genbank,embl",ABRicate,tabular
1,,,ABRicate List will list all the antibiotic databases used by ABRicate  The database of these genes is built from ResFinder      ,abricate_list,,ABRicate List,txt
2,de novo sequence assembler,, ABySS   is a de novo sequence assembler intended for short paired end reads and large genomes ,abyss-pe,"fasta,fastq,fastqsanger,fastqillumina",ABySS,"fasta,tabular"
3,Linkage and Haplotype analysis,,,allegro,"linkage_pedin,linkage_recomb,linkage_map,txt",Allegro,"allegro_haplo,allegro_linkage,allegro_descent,txt"
4,annotate a generic set of identifiers,,This tool can get annotation for a generic set of IDs  using the Bioconductor  annotation data packages  Supported organisms are human  mouse  fruit fly and zebrafish  The org db packages that are used here are primarily based on mapping using Entrez Gene identifiers  More information on the annotation packages can be found at the Bioconductor website  for example  information on the human annotation package  org Hs eg db  can be found here  ,annotatemyids,tabular,annotateMyIDs,"tabular,txt"
5,simulates pyrosequencing data,,,art_454,fasta,ART 454,"fastq,sam,aln"
6,simulates sequencing data,,,art_illumina,fasta,ART Illumina,"fastq,sam,aln"
7,simulates SOLiD data,,,art_solid,fasta,ART SOLiD,"fastq,sam"
8,gene prediction for prokaryotic and eukaryotic genomes,,AUGUSTUS is a gene prediction program for prokaryotes and eukaryotes written by Mario Stanke and Oliver Keller  It can be used as an ab initio program  which means it bases its prediction purely on the sequence  AUGUSTUS may also incorporate hints on the gene structure coming from extrinsic sources such as EST  MS MS  protein alignments and synthenic genomic alignments ,augustus,"fasta,augustus",Augustus,"gtf,fasta"
9,ab-initio gene predictor,,,augustus_training,"fasta,gff",Train Augustus,augustus
10,,,Converts BAM data to ScIdx  the Strand specific coordinate count format  which is used by tools within the Chip exo Galaxy flavor   ScIdx files are 1 based   The format consists of 5 columns  the chromosome  the position of the genomic coordinate  the number of tags on the forward strand  the number of tags on the reverse strand and the number of total tags on the position   With pair end reads  only the 5  end of READ1 will be used to create the ScIdx data file   Tools that use this format include GeneTrack and MultiGPS ,bam_to_scidx,bam,Convert BAM to ScIdx,scidx
11,Locate ribosomal RNA's in a fasta file. (GFF output),,,barrnap,fasta,barrnap,gff3
12,Detecting natural selection from population-based genetic data,,This program  BayeScan aims at identifying candidate loci under natural selection from genetic data  using differences in allele frequencies between populations ,BayeScan,"tabular,txt",BayeScan,txt
13,Annotate and edit VCF/BCF files,,,bcftools_@EXECUTABLE@,"vcf,tabular,bed,txt,tabular",bcftools @EXECUTABLE@,
14,SNP/indel variant calling from VCF/BCF,,,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,
15,"Copy number variation caller, requires Illumina's B-allele frequency (BAF) and Log R Ratio intensity (LRR)",,,bcftools_@EXECUTABLE@,fasta,bcftools @EXECUTABLE@,tabular
16,Concatenate or combine VCF/BCF files,,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
17,Create consensus sequence by applying VCF variants to a reference fasta file,,,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,"fasta,txt"
18,Converts VCF/BCF to IMPUTE2/SHAPEIT formats,,,bcftools_@EXECUTABLE@_from_vcf,,bcftools @EXECUTABLE@ from vcf,tabular
19,Converts other formats to VCF/BCFk,,,bcftools_@EXECUTABLE@_to_vcf,"tabular,gvcf",bcftools @EXECUTABLE@ to vcf,
20,Haplotype aware consequence predictor,,,bcftools_@EXECUTABLE@,gff3,bcftools @EXECUTABLE@,
21,Apply fixed-threshold filters,,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
22,Check sample identity,,,bcftools_@EXECUTABLE@,"vcf,bcf",bcftools @EXECUTABLE@,tabular
23,"Create intersections, unions and complements of VCF files",,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
24,Merge multiple VCF/BCF files from non-overlapping sample sets to create one multi-sample file,,,bcftools_@EXECUTABLE@,vcf,bcftools @EXECUTABLE@,
25,Generate VCF or BCF containing genotype likelihoods for one or multiple alignment (BAM or CRAM) files,,,bcftools_@EXECUTABLE@,"bam,cram,fasta,txt",bcftools @EXECUTABLE@,
26,Left-align and normalize indels; check if REF alleles match the reference; split multiallelic sites into multiple rows; recover multiallelics from multiple rows,,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
27,"plugin Color shared chromosomal segments, requires phased GTs",,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,svg
28,"plugin  counts number of samples, SNPs, INDELs, MNPs and total sites",,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,tabular
29,plugin genotype dosage,,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,tabular
30,plugin Fill INFO fields AN and AC,,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
31,"plugin Set INFO tags AF, AN, AC, AC_Hom, AC_Het, AC_Hemi",,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
32,plugin  Fix ploidy,,,bcftools_plugin_@PLUGIN_ID@,tabular,bcftools @EXECUTABLE@,
33,plugin Annotate frameshift indels,,,bcftools_plugin_@PLUGIN_ID@,bed,bcftools @EXECUTABLE@,
34,plugin Add imputation information metrics to the INFO field,,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
35,plugin Count Mendelian consistent / inconsistent genotypes,,,bcftools_plugin_@PLUGIN_ID@,txt,bcftools @EXECUTABLE@,
36,plugin Set missing genotypes,,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
37,plugin Sets genotypes,,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
38,"plugin Convert between similar tags, such as GL and GP",,,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
39,Extracts fields from VCF/BCF file and prints them in user-defined format,,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,txt
40,in VCF/BCF file,,,bcftools_@EXECUTABLE@_list_samples,,bcftools List Samples,tabular
41,"Modify header of VCF/BCF files, change sample names",,,bcftools_@EXECUTABLE@,"vcf,tabular",bcftools @EXECUTABLE@,
42,HMM model for detecting runs of homo/autozygosity,,,bcftools_@EXECUTABLE@,data,bcftools @EXECUTABLE@,tabular
43,Parses VCF or BCF and produces stats which can be plotted using plot-vcfstats,,,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,"txt,pdf"
44,"VCF/BCF conversion, view, subset and filter VCF/BCF files",,,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
45,from regular barcodes.,,,bctools_convert_to_binary_barcode,fastq,Create binary barcodes,fastq
46,from full alignments,,,bctools_extract_crosslinked_nucleotides,bed,Get crosslinked nucleotides,bed
47,from SAM or BAM,,,bctools_extract_alignment_ends,"sam,bam",Extract alignment ends,bed
48,according to pattern,,,bctools_extract_barcodes,fastq,Extract barcodes,fastq
49,according to UMIs,,,bctools_merge_pcr_duplicates,"bed,fastq",Merge PCR duplicates,bed
50,from FASTQ,,,bctools_remove_tail,fastq,Remove 3'-end nts,fastq
51,crosslinking events,,,bctools_remove_spurious_events,bed,Remove spurious,bed
